index,x-pt,y-pt,z-pt,x-field,y-field,z-field,magnitude,inside_csf,inside_encap,frequency
1.0,14.828766978663456,17.477271912111597,16.173321024535596,0.21218196568865616,-0.28947143608614473,-0.21156807480587783,0.607578206955665,0.0,0.0,4160.0
1.0,14.52529573692801,17.523334565836926,16.16905970521032,0.22497927572005502,-0.3220572727037519,-0.21160961497565817,0.6507431577144507,0.0,0.0,4160.0
1.0,14.225441941577278,17.52423242967235,16.159737942807492,0.2273087978961985,-0.3417703516902604,-0.22896360603026883,0.6854185550766534,0.0,0.0,4160.0
1.0,13.920775690847055,17.525144703629344,16.150266572274578,0.2296757073647552,-0.36179981257516625,-0.2465961171800109,0.721042780715198,0.0,0.0,4160.0
1.0,13.621274287453602,17.511762593671673,16.139319951863094,0.20957526862462997,-0.39042571458338754,-0.2603685883547232,0.7495132175875489,0.0,0.0,4160.0
1.0,13.314807735144024,17.498069271854522,16.128118758883897,0.19953663895165166,-0.4091231159112847,-0.26957387048430786,0.7714947952469001,0.0,0.0,4160.0
1.0,13.018608743824716,17.450656423235642,16.123855036652312,0.20052637823102468,-0.43235118258661204,-0.2726084674799786,0.8006961842725822,0.0,0.0,4160.0
1.0,12.715561866191411,17.402147427071768,16.11949274053637,0.1737022846797419,-0.44650892890240473,-0.2846882290336114,0.8127392134708226,0.0,0.0,4160.0
1.0,12.420145521072879,17.349997591018383,16.12258751620079,0.1590542179365105,-0.459930609903,-0.2905422657745158,0.8265677439747701,0.0,0.0,4160.0
1.0,12.1187634916103,17.296794632936958,16.1257447882539,0.13354101475720712,-0.4761127111003223,-0.2966221859841374,0.840918770232753,0.0,0.0,4160.0
1.0,11.828171629665936,17.22864695209422,16.155948486164323,0.10138166443399245,-0.4818978847056576,-0.2909888442655479,0.8341606001160424,0.0,0.0,4160.0
1.0,11.530821817443796,17.158914441464443,16.18685459565406,0.0901931036440436,-0.5002147546496147,-0.28499023779543786,0.8498092462019272,0.0,0.0,4160.0
1.0,11.2448529470277,17.08102365710775,16.233274751462094,0.052744376351150576,-0.5085571640276918,-0.27445756414808925,0.8462609948031762,0.0,0.0,4160.0
1.0,10.953420415429632,17.001644707782948,16.280581801018318,0.025534740231863338,-0.5119262992074497,-0.2745941551592641,0.8479972714915014,0.0,0.0,4160.0
1.0,10.673109567755883,16.91458440710743,16.342600610445086,-0.011209670329491167,-0.5066940376239966,-0.26313201455093216,0.832788625836046,0.0,0.0,4160.0
1.0,10.38627986315949,16.82549944827667,16.406061717765496,-0.02372348433880953,-0.49903633154462745,-0.24491679228545793,0.811422183851247,0.0,0.0,4160.0
1.0,10.121653279432648,16.71644532257649,16.49595036472845,-0.040714023694630806,-0.49507006849577556,-0.22981064909190294,0.7981837917500576,0.0,0.0,4160.0
1.0,9.85216677870425,16.605388397338505,16.587489833606078,-0.07186320499632581,-0.480950509969529,-0.21154617165569653,0.7733709376838112,0.0,0.0,4160.0
1.0,9.598149333475181,16.485143127463164,16.69244798046426,-0.10144765875032484,-0.46623172677109276,-0.19195196880647594,0.7500285785897268,0.0,0.0,4160.0
1.0,9.340499171355306,16.363178223637004,16.79890713932016,-0.11695504979204582,-0.44965923090717996,-0.17080874404034319,0.7219092096526444,0.0,0.0,4160.0
1.0,9.134177816064266,16.209560855091482,16.953287197721554,-0.13718293433589634,-0.42646922892723776,-0.14255928713510815,0.6856011563911387,0.0,0.0,4160.0
1.0,8.923058289719943,16.052370989603038,17.111257490039257,-0.15846772154577876,-0.4097981446802346,-0.11531471400884585,0.6624503877332494,0.0,0.0,4160.0
1.0,8.763348195874547,15.885017929937666,17.302269634534138,-0.16805683293982954,-0.39399863182946043,-0.08909376793271363,0.638037514705459,0.0,0.0,4160.0
1.0,8.60383310214404,15.717869202165643,17.493048560268544,-0.17279497832104063,-0.37079565816270954,-0.057534663781718155,0.602449206575259,0.0,0.0,4160.0
1.0,8.479743500912742,15.542376874287426,17.7023431223626,-0.17362050332229334,-0.33848898839592084,-0.038250957484558694,0.5575763933798931,0.0,0.0,4160.0
1.0,8.353379577433984,15.363668111658903,17.91547364874471,-0.1749746096374159,-0.31893141586918156,-0.020831892426809537,0.5313773320072076,0.0,0.0,4160.0
1.0,8.293317821805854,15.155012357592057,18.12248901485472,-0.17228545385132207,-0.3000568340767633,-0.005257354236007717,0.5046430917908947,0.0,0.0,4160.0
1.0,8.231859281163116,14.941504144128306,18.3343186918045,-0.1713891380636096,-0.2841120550961296,0.015351167855977989,0.48439912109490535,0.0,0.0,4160.0
2.0,15.91188210332761,17.582441789968353,15.958242556619345,0.1992397776310604,-0.21129065361049978,-0.1973918055630485,0.5120891371641891,0.0,0.0,4160.0
2.0,15.622342500536563,17.660780744706635,15.95278118443681,0.21288902082246636,-0.21629407913164267,-0.2158402734613265,0.5431039267484461,0.0,0.0,4160.0
2.0,15.32606941861084,17.740941535601618,15.947192803598869,0.22719679344942292,-0.2590678828713494,-0.2120453395425461,0.5900363996007103,0.0,0.0,4160.0
2.0,15.03043028301608,17.79174740154114,15.943159753770534,0.23033373022845716,-0.28957951291000983,-0.2335149657125021,0.6380765798049768,0.0,0.0,4160.0
2.0,14.72857163474386,17.84362209663505,15.939041858596925,0.2350324126216812,-0.3191362537505069,-0.25309115400032506,0.6857950118328064,0.0,0.0,4160.0
2.0,14.431826517801198,17.887540639582603,15.935368011015752,0.23904535611005878,-0.347776169112868,-0.27168037360112035,0.7319349868128879,0.0,0.0,4160.0
2.0,14.12818035162731,17.932480543994057,15.931608725118739,0.24315162386560807,-0.3770821290185404,-0.29070190063449136,0.779658938812129,0.0,0.0,4160.0
2.0,13.828319670777992,17.933871382206064,15.922573369583354,0.2431575059666563,-0.40284217040706033,-0.3064596914644416,0.8189107404189833,0.0,0.0,4160.0
2.0,13.523634119990732,17.935284599522454,15.913392631815201,0.22934630450152454,-0.42359312847879604,-0.32697992336655085,0.8490302064347083,0.0,0.0,4160.0
2.0,13.224125823886151,17.921974105539324,15.90254775678337,0.23341265933548874,-0.45123235875870343,-0.3387395137304809,0.8904646124927483,0.0,0.0,4160.0
2.0,12.917652218569836,17.908354065184493,15.89145067535545,0.2230873756972843,-0.4760011579547966,-0.3568645233396486,0.9265852280793554,0.0,0.0,4160.0
2.0,12.621293841203943,17.861911546271454,15.887603000464408,0.2057582756343507,-0.4995708119719617,-0.3680919164164248,0.953397978830715,0.0,0.0,4160.0
2.0,12.318124236091403,17.814401635316873,15.883666894160658,0.17564315476468564,-0.5317294012417693,-0.3741295235451376,0.9821426774726373,0.0,0.0,4160.0
2.0,12.022536758533635,17.76324217636812,15.886946051233238,0.16106382712448286,-0.5470852139823594,-0.3785312024329081,0.9982192885596217,0.0,0.0,4160.0
2.0,11.72092987965253,17.71104089617091,15.890291985703104,0.1352695538015229,-0.5578503693058675,-0.38817534780260843,1.0105485431775276,0.0,0.0,4160.0
2.0,11.430030862546557,17.644424994621044,15.920952766963168,0.11078783439200089,-0.5684399900626169,-0.39166749296213227,1.019585452583692,0.0,0.0,4160.0
2.0,11.132366752019518,17.576259886058388,15.952326589647884,0.06973618242550153,-0.5827159806527601,-0.35927119144416625,1.003496715136434,0.0,0.0,4160.0
2.0,10.846066754192927,17.49989393574467,15.99923664056639,0.046206856934397626,-0.6428762109659611,-0.36802799160592164,1.0823850292457864,0.0,0.0,4160.0
2.0,10.55431319165789,17.422073334174506,16.047040254181727,0.007220216172333914,-0.632595939743061,-0.3622447047294428,1.0631364782386992,0.0,0.0,4160.0
2.0,10.273721871135242,17.33642463789114,16.109752387555712,-0.024045254205139307,-0.6141501718216739,-0.3423291078497573,1.0259758163044945,0.0,0.0,4160.0
2.0,9.986605171065555,17.24878411146165,16.173922942636068,-0.05603782854487909,-0.5952754325532779,-0.32195035755426465,0.9903215236495667,0.0,0.0,4160.0
2.0,9.721215839865136,17.142218617939854,16.264544675545178,-0.08359500538201836,-0.5531691395035236,-0.2707724828761439,0.9064020288260982,0.0,0.0,4160.0
2.0,9.450886378011562,17.03366944459666,16.356853300683756,-0.1148587206649948,-0.5395566947038325,-0.25263330349386676,0.8848353516989353,0.0,0.0,4160.0
2.0,9.196165389154022,16.916040322304706,16.46306350463922,-0.1387883361012491,-0.5211472943664426,-0.23061855074947313,0.8553875125651766,0.0,0.0,4160.0
