index,x-pt,y-pt,z-pt,potential,inside_csf,inside_encap,frequency
3.0,12.508695657743178,17.349878798433572,15.843863676616275,1.9168510961982563,0.0,0.0,4160.0
3.0,12.213073271590439,17.29886492375132,15.846097372044023,1.9384041097721338,0.0,0.0,4160.0
3.0,11.911385062521951,17.246804304490297,15.848376900269106,1.9510491532953345,0.0,0.0,4160.0
3.0,11.620557125329011,17.17971270931397,15.878672589810614,1.9601570935781107,0.0,0.0,4160.0
3.0,11.322965747736236,17.11106084448238,15.909672830271692,1.9618567034579886,0.0,0.0,4160.0
3.0,11.036567418161363,17.034443125146584,15.955560975805192,1.9501969108677835,0.0,0.0,4160.0
3.0,10.744729757084407,16.95637026752482,16.00232063771919,1.931125197109512,0.0,0.0,4160.0
3.0,10.464335344389513,16.869866032010005,16.064738508297115,1.9053092399503482,0.0,0.0,4160.0
3.0,10.177420131399389,16.78135007008787,16.128607957260574,1.8724062273355315,0.0,0.0,4160.0
3.0,9.91201919109109,16.674009814400574,16.218276292766795,1.8322958129633808,0.0,0.0,4160.0
3.0,9.641804693644092,16.564722736469797,16.30957093621296,1.7829502916975102,0.0,0.0,4160.0
3.0,9.386674318640624,16.44658755720252,16.414225468699986,1.7257139979780862,0.0,0.0,4160.0
3.0,9.127597636138116,16.326625085736744,16.520498777337664,1.664828114608926,0.0,0.0,4160.0
3.0,8.919853989385299,16.17575720764471,16.675680801405687,1.6007365934267188,0.0,0.0,4160.0
3.0,8.707279095033579,16.021380774248215,16.83447170975436,1.5290500429588245,0.0,0.0,4160.0
3.0,8.544809024512787,15.856998042912126,17.025735385928005,1.4606317956226191,0.0,0.0,4160.0
3.0,8.382567287258455,15.692846332870456,17.216730262686493,1.390615439455903,0.0,0.0,4160.0
3.0,8.25584204498238,15.52046415996172,17.42702790754571,1.3245162710604481,0.0,0.0,4160.0
3.0,8.12671476599732,15.344814537728253,17.64131167745541,1.2550299568140748,0.0,0.0,4160.0
3.0,8.064456968240258,15.138503122404355,17.850020964564276,1.188297724040295,0.0,0.0,4160.0
3.0,8.000751314721404,14.927393767189203,18.063583956024512,1.1207853056037556,0.0,0.0,4160.0
4.0,16.14444831213685,17.115809904386904,15.825434135044606,1.201767382608393,0.0,0.0,4160.0
4.0,15.855176194715273,17.19514415424291,15.820169262565326,1.2616647478821406,0.0,0.0,4160.0
4.0,15.559176818749012,17.27632338665371,15.814781951191177,1.3285215645298436,0.0,0.0,4160.0
4.0,15.263768715574459,17.32844189922016,15.810573242758206,1.3930080595025833,0.0,0.0,4160.0
4.0,14.962157051190195,17.38165489897024,15.806276151575753,1.4619155033032811,0.0,0.0,4160.0
4.0,14.665582634510452,17.42669004647575,15.802345393350262,1.5307311163050892,0.0,0.0,4160.0
4.0,14.36211113837304,17.47277252299301,15.798323222142782,1.6038942864542567,0.0,0.0,4160.0
4.0,14.062264665735468,17.475590684395108,15.789149846912382,1.6635872372410245,0.0,0.0,4160.0
4.0,13.75767733173602,17.478453403641705,15.779831431789383,1.7241334007276374,0.0,0.0,4160.0
4.0,13.458144216652448,17.46587969217605,15.768794459907978,1.7749541206492363,0.0,0.0,4160.0
4.0,13.151645215171586,17.453013568815845,15.757500814261888,1.8242726827055549,0.0,0.0,4160.0
4.0,12.855171340917101,17.40737607860955,15.752977389430441,1.8579438221377134,0.0,0.0,4160.0
