time,E1C1,E1C2,E1C3,E1C4,E1C5,E1C6,E1C7,E1C8
0.003632145285811433,-0.08662071769098184,-0.014039489688998139,-0.01407222114615115,-0.013650575470015755,-0.004729214122653468,-0.004828309955285096,-0.004433956328159666,-0.0020597211363821656
0.003634145365814633,-0.08661536384868061,-0.014038581080993219,-0.014071316436115883,-0.013649692361264554,-0.004728866408206618,-0.004827974921411956,-0.004433641960394959,-0.002059570107236922
0.003636145445817833,-0.08661562925366026,-0.014038646512330534,-0.0140713805763223,-0.013649757325901766,-0.004728904739312246,-0.004828009536938779,-0.004433677325746564,-0.0020595912249151338
0.003638145525821033,-0.08661030325289035,-0.01403774251669718,-0.014070480464788744,-0.013648878692775479,-0.004728558715242506,-0.004827676145812026,-0.00443336448341614,-0.002059440906149627
0.0036401456058242332,-0.08661059661406202,-0.01403781257942673,-0.014070549222451259,-0.013648948151490032,-0.004728598743743065,-0.004827712410873865,-0.00443340138051063,-0.002059462737143243
0.0036421456858274333,-0.08660529868353303,-0.014036913234104777,-0.014069653747227111,-0.013648074030794991,-0.0047282544240486515,-0.004827380676034546,-0.004433090076198071,-0.002059313134613151
0.0036441457658306334,-0.08660562022837878,-0.014036987965962837,-0.014069727159950599,-0.013648148020195754,-0.004728296163867266,-0.004827418604099807,-0.0044331285175515465,-0.0020593356847464486
0.0036461458458338335,-0.08660035059434011,-0.014036093308484172,-0.014068836358436969,-0.013647278448342525,-0.004727953562395872,-0.004827088538943348,-0.004432818763705123,-0.0020591868042444937
0.003648145925837034,-0.08660070054787124,-0.014036172746797203,-0.014068914463417808,-0.013647357004640724,-0.004727997027304491,-0.00482712814333415,-0.0044328587616977244,-0.002059210079278485
0.003650146005840234,-0.08659545943408978,-0.0140352828142818,-0.01406802837260534,-0.013646492017640255,-0.00472765615775189,-0.0048267997611090106,-0.004432550570629123,-0.002059061926533827
0.003652146085843434,-0.08659583801882213,-0.014035366995962254,-0.01406811120662736,-0.01364657517664555,-0.004727701361369671,-0.0048268410549997375,-0.0044325921375036985,-0.0020590859321656324
0.003654146165846634,-0.0865906256465574,-0.014034481825114206,-0.014067229863092303,-0.013645714810105371,-0.004727362237278213,-0.004826514368805926,-0.004432285521386665,-0.0020589385128432338
0.0036561462458498343,-0.0865910330824888,-0.014034570786656932,-0.014067317462523168,-0.013645802607222183,-0.0047274091930703125,-0.004826557365221895,-0.004432328669247547,-0.0020589632547055306
0.0036581463258530344,-0.08658584967047028,-0.014033690413760654,-0.014066440902423458,-0.013644946896342647,-0.004727071827827504,-0.004826232388009648,-0.004432023640116646,-0.0020588165744055893
0.0036601464058562344,-0.08658628617505719,-0.014033784191238836,-0.01406653330321071,-0.013645039366566435,-0.004727120549103518,-0.004826277099825714,-0.00443206838092836,-0.0020588420580659804
0.0036621464858594345,-0.08658113193946125,-0.014032908652155219,-0.014065661562282242,-0.013644188346136975,-0.004726784955940612,-0.004825953844394103,-0.004431764950677658,-0.002058696122323319
0.0036641465658626346,-0.08658159772759473,-0.014033007281216509,-0.014065758799949282,-0.013644285524050405,-0.004726835455853165,-0.004826000284333253,-0.004431811296263576,-0.002058722353283717
0.003666146645865835,-0.08657647288202214,-0.014032136611379134,-0.01406489191350226,-0.013643439228445976,-0.00472650164784381,-0.0048256787633288644,-0.004431509476645483,-0.0020585771675672346
0.003668146725869035,-0.08657696816600605,-0.0140322401272421,-0.014064994023144966,-0.013643541148215345,-0.0047265539393872005,-0.004825726943960924,-0.00443155743868666,-0.002058604151263339
0.0036701468058722353,-0.08657187292145889,-0.014031374361653548,-0.014064132026059904,-0.013642699611392781,-0.004726221929446032,-0.004825407169876506,-0.004431257241310593,-0.0020584597209753904
0.0036721468858754353,-0.08657239791098796,-0.014031482799103837,-0.014064239042342658,-0.013642806306764448,-0.004726276025454859,-0.00482545710361682,-0.0044313068313445204,-0.0020584874627760865
0.0036741469658786354,-0.08656733247584728,-0.01403062197233188,-0.014063381969066887,-0.013641969562258702,-0.0047259458263360895,-0.004825139088789961,-0.004431008267675702,-0.0020583437932519297
0.0036761470458818355,-0.0865678873779847,-0.014030735365718642,-0.0140634939262192,-0.013642081066555576,-0.00472600173948394,-0.004825190787898061,-0.004431059497095111,-0.0020583722984587344
0.0036781471258850356,-0.08656285195798918,-0.014029879511892775,-0.014062641810763245,-0.013641249147476399,-0.004725673363780104,-0.00482487454450989,-0.004430762578453402,-0.002058229394965988
0.0036801472058882356,-0.08656343697714378,-0.014029997895124872,-0.01406275874257577,-0.013641365493594277,-0.004725731106578117,-0.004824928021088218,-0.004430815458504984,-0.0020582586688124654
0.003682147285891436,-0.08655843177536834,-0.014029147047932572,-0.01406191161850976,-0.013640538432622744,-0.004725404566718685,-0.00482461356116214,-0.004430520196063662,-0.0020581165365505215
0.0036841473658946362,-0.08655904711327418,-0.014029270454475155,-0.014062033558330992,-0.013640659653026892,-0.004725464151514294,-0.004824668827154732,-0.004430574737846946,-0.0020581465842017623
0.0036861474458978363,-0.08655407233010728,-0.014028424647158432,-0.014061191458781081,-0.013639837482411802,-0.0047251394597644,-0.0048243561625551604,-0.0044302811426315475,-0.0020580052283012593
0.0036881475259010364,-0.08655471818580265,-0.01402855311002944,-0.01406131843951388,-0.013639963609133663,-0.004725200898740066,-0.004824413229746452,-0.0044303373570977345,-0.0020580360548533186
0.0036901476059042365,-0.08654977401892626,-0.014027712375381186,-0.01406048139715864,-0.01363914636068814,-0.004724878067199139,-0.004824102372177533,-0.004430045439984828,-0.0020578954803755984
0.0036921476859074365,-0.08655045058873116,-0.014027845927147693,-0.014060613451256608,-0.013639277425321799,-0.004724941372370982,-0.004824161252191042,-0.0044301033379356095,-0.0020579270908549505
0.0036941477659106366,-0.08654553723309956,-0.014027010297508476,-0.014059781498323922,-0.013638465130420207,-0.004724620412971583,-0.004823852213195452,-0.004429813109651736,-0.00205778730279153
0.0036961478459138367,-0.08654624471059683,-0.01402714897028342,-0.01405991865778803,-0.01363860116411912,-0.004724685596188178,-0.004823912917492653,-0.004429872701738161,-0.002057819702154559
0.0036981479259170368,-0.08654136235841628,-0.014026318477537849,-0.014059091826051322,-0.01363779385369341,-0.0047243665206946435,-0.004823605708450344,-0.004429584172858689,-0.0020576807054265805
