time,E1C1,E1C2,E1C3,E1C4,E1C5,E1C6,E1C7,E1C8
0.002408096323852954,-0.0877698390528053,-0.014679045120101528,-0.014712316886558585,-0.014718880652817495,-0.005254949080795315,-0.005449430969103676,-0.005477447806838026,-0.002535531286923854
0.0024100964038561543,-0.08776726387021208,-0.014678586900679939,-0.014711859676683467,-0.01471842144130946,-0.005254762898626366,-0.0054492464245126234,-0.005477261725055607,-0.002535438127596124
0.002412096483859355,-0.08777027499524352,-0.014679124995113365,-0.014712395056823282,-0.014718960415083224,-0.005254988135744338,-0.00544946475022368,-0.0054774826739549315,-0.0025355491157072222
0.002414096563862555,-0.08776768416283222,-0.014678664088111233,-0.014711935168615563,-0.014718498511449706,-0.005254800901930744,-0.0054492791671850735,-0.00547729554316168,-0.0025354554549410916
0.002416096643865755,-0.08777067950729144,-0.014679199472519276,-0.014712467848052283,-0.014719034770614692,-0.005255025078636853,-0.005449496445781954,-0.005477515434296839,-0.00253556593743191
0.002418096723868955,-0.08776807276422169,-0.014678735833161573,-0.014712005236885334,-0.014718570130003881,-0.005254836775688842,-0.005449309807006703,-0.005477327237030729,-0.0025354717668849085
0.002420096803872155,-0.08777105206860793,-0.014679268462999025,-0.014712535171221501,-0.014719103629938583,-0.0052550598745829125,-0.005449526021288965,-0.005477546053029217,-0.0025355817354557127
0.002422096883875355,-0.08776842915672818,-0.014678802046971917,-0.014712069792928453,-0.014718636207960836,-0.005254870485190526,-0.005449338309665977,-0.005477356772007943,-0.0025354870468711804
0.0024240969638785552,-0.08777139216424461,-0.014679331878157426,-0.014712596938229024,-0.014719166904508418,-0.005255092489053208,-0.00544955344261223,-0.00547757449567807,-0.0025355964933085535
0.0024260970438817553,-0.0877687528281159,-0.0146788626416126,-0.01471212874910712,-0.014718696657240309,-0.0052549019960879085,-0.00544936464120999,-0.005477384113800648,-0.002535501278516384
0.0024280971238849554,-0.0877716992846896,-0.014679389630532164,-0.014712653061902795,-0.01471922450671208,-0.005255122887881964,-0.005449578675979127,-0.005477600728132709,-0.002535610194693807
0.002430097203888156,-0.08776904327161215,-0.014678917530091208,-0.014712182018717667,-0.01471875139070092,-0.005254931274398354,-0.005449388768047417,-0.005477409228481267,-0.0025355144456113304
0.002432097283891356,-0.08777197292592051,-0.014679441633602632,-0.01471270345600959,-0.014719276349880853,-0.0052551510372705005,-0.00544960168798034,-0.005477624716649397,-0.002535622823490056
0.002434097363894556,-0.08776929998595474,-0.014678966626360599,-0.014712229515998857,-0.014718800322148307,-0.005254958286507763,-0.005449410656951634,-0.0054774320824905265,-0.002535526532122645
0.002436097443897756,-0.08777221258944881,-0.014679487801797626,-0.014712748035262513,-0.014719322348297063,-0.005255176903790179,-0.005449622445572906,-0.005477646427854303,-0.0025356343637524576
0.0024380975239009562,-0.08776952247544063,-0.014679009845327596,-0.014712271156140298,-0.014718843366343595,-0.005254982999173779,-0.005449430275064074,-0.005477452642640791,-0.0025355375221944145
0.0024400976039041563,-0.08777241778236719,-0.014679528050503559,-0.014712786715329305,-0.014719362417202371,-0.005255200454385594,-0.005449640916083271,-0.005477665828746611,-0.0025356447997142858
0.0024420976839073564,-0.08776971024997123,-0.014679047102860355,-0.014712306855289882,-0.014718880439011012,-0.0052550053795287896,-0.005449447589897086,-0.005477470876118964,-0.002535547400149503
0.0024440977639105564,-0.08777258801739694,-0.014679562296072424,-0.014712819412840151,-0.014719396472805612,-0.005255221656377711,-0.005449657067210454,-0.0054776828867017496,-0.0025356541157884236
0.002446097843913757,-0.08776986282509787,-0.0146790783157965,-0.014712336530561998,-0.014718911456845889,-0.005255025395083049,-0.005449462569337011,-0.005477486750489652,-0.0025355561504911395
0.002448097923916957,-0.08777272281293172,-0.014679590455829426,-0.014712846045395541,-0.01471942443229058,-0.005255240477466848,-0.00544967086702895,-0.00547769756947428,-0.0025356622965687745
0.002450098003920157,-0.08776997972206824,-0.014679103401950853,-0.014712360100045088,-0.014718936337522488,-0.0052550430137277004,-0.005449475181647273,-0.00547750023369819,-0.0025355637579042895
0.002452098083923357,-0.08777282169308397,-0.014679612448080899,-0.01471286653157378,-0.014719446213823872,-0.005255256885735699,-0.005449682283991744,-0.005477709845201025,-0.002535669326831735
0.0024540981639265573,-0.0877700604678701,-0.014679122280123035,-0.014712377482809307,-0.014718954999701625,-0.005255058203737711,-0.005449485395471196,-0.005477511294073588,-0.002535570207257103
0.0024560982439297573,-0.0877728841877282,-0.014679628192121777,-0.01471288079093876,-0.01471946173656245,-0.005255270849652308,-0.005449691286933339,-0.005477719682403944,-0.002535675191537575
0.0024580983239329574,-0.08777010459527608,-0.014679134870105205,-0.014712388598914175,-0.014718967363038215,-0.005255070933774936,-0.0054494931798350615,-0.005477519900331483,-0.0025355754836023413
0.0024600984039361575,-0.08777290983254503,-0.014679637608243068,-0.014712888744047348,-0.014719470920661075,-0.005255282338072966,-0.005449697845072415,-0.005477727049993055,-0.0025356798758318635
0.0024620984839393576,-0.08777011164288577,-0.01467914109268919,-0.014712393369415665,-0.014718973348188752,-0.005255081172890854,-0.005449498504150815,-0.00547752602157704,-0.0025355795721787085
0.002464098563942558,-0.08777289816906483,-0.014679640617739425,-0.014712890312456752,-0.014719473687279811,-0.005255291320245131,-0.005449701928014969,-0.005477731917269423,-0.002535683365046808
0.002466098643945758,-0.0877700811551707,-0.014679140869674132,-0.014712391716374066,-0.01471897287681876,-0.005255088890529586,-0.0054495013382191175,-0.005477529627307884,-0.00253558245841228
0.0024680987239489582,-0.08777284874470881,-0.01467963714291611,-0.014712885418731727,-0.014719469958591212,-0.005255297765810206,-0.0054497035057568845,-0.005477734253927838,-0.0025356856447026404
0.0024700988039521583,-0.08777001268251235,-0.014679134123873356,-0.014712383562860452,-0.014718965871609613,-0.005255094056530535,-0.005449501652231802,-0.005477530687416689,-0.002535584127917759
0.0024720988839553584,-0.08777276111283239,-0.014679627107096537,-0.014712873986451859,-0.014719459657787702,-0.005255301644806409,-0.005449702548686848,-0.005477734030059695,-0.0025356867005089513
0.0024740989639585585,-0.08776990578124884,-0.014679120779121901,-0.014712368832964506,-0.014718952256266318,-0.005255096641131348,-0.005449499416774994,-0.005477529172194247,-0.0025355845664999125
0.0024760990439617585,-0.08777263483276455,-0.014679610434628959,-0.014712855940218395,-0.014719442709088312,-0.00525530292767144,-0.005449699027588957,-0.005477731216155786,-0.002535686518365945
