time,BrainSurface_free,BrainSurface
0.0021080843233729353,-0.0,1.3882845048798528e-09
0.0021100844033761354,0.0,-1.3882845046844523e-09
0.0021120844833793354,0.0,1.3882845044696263e-09
0.0021140845633825355,0.0,-1.388284504724959e-09
0.0021160846433857356,0.0,1.3882845048062358e-09
0.0021180847233889357,0.0,-1.3882845047549339e-09
0.0021200848033921357,0.0,1.3882845044277995e-09
0.002122084883395336,-0.0,-1.3882845046488862e-09
0.002124084963398536,0.0,1.3882845048294395e-09
0.0021260850434017364,0.0,-1.3882845051282651e-09
0.0021280851234049365,0.0,1.3882845045845922e-09
0.0021300852034081366,-0.0,-1.388284504739414e-09
0.0021320852834113366,0.0,1.3882845048120275e-09
0.0021340853634145367,0.0,-1.3882845048218662e-09
0.002136085443417737,-0.0,1.3882845044859809e-09
0.002138085523420937,0.0,-1.3882845045518983e-09
0.002140085603424137,0.0,1.38828450469444e-09
0.0021420856834273375,0.0,-1.3882845048145333e-09
0.0021440857634305375,-0.0,1.3882845045938713e-09
0.0021460858434337376,0.0,-1.3882845045324084e-09
0.0021480859234369377,0.0,1.38828450470005e-09
0.0021500860034401378,0.0,-1.3882845050852126e-09
0.002152086083443338,0.0,1.3882845047922147e-09
0.002154086163446538,0.0,-1.3882845042688495e-09
0.002156086243449738,0.0,1.388284504584764e-09
0.002158086323452938,-0.0,-1.388284505075875e-09
0.0021600864034561386,0.0,1.388284504838635e-09
0.0021620864834593387,0.0,-1.3882845045913846e-09
0.0021640865634625387,0.0,1.3882845044072107e-09
0.002166086643465739,-0.0,-1.3882845049031522e-09
0.002168086723468939,0.0,1.3882845049539225e-09
0.002170086803472139,0.0,-1.3882845046519427e-09
0.002172086883475339,-0.0,1.388284504177814e-09
0.002174086963478539,0.0,-1.3882845047577546e-09
0.0021760870434817396,0.0,1.3882845049965101e-09
0.0021780871234849397,0.0,-1.3882845048750893e-09
0.00218008720348814,-0.0,1.388284504304221e-09
0.00218208728349134,0.0,-1.3882845046711686e-09
0.00218408736349454,0.0,1.3882845047635421e-09
0.00218608744349774,-0.0,-1.3882845049846254e-09
0.00218808752350094,0.0,1.388284504702694e-09
0.00219008760350414,0.0,-1.3882845044810531e-09
0.0021920876835073407,0.0,1.3882845047196987e-09
0.0021940877635105408,-0.0,-1.3882845049838861e-09
0.002196087843513741,0.0,1.3882845049649983e-09
0.002198087923516941,0.0,-1.3882845047139953e-09
0.002200088003520141,-0.0,1.3882845046615196e-09
0.002202088083523341,0.0,-1.3882845048919084e-09
0.002204088163526541,0.0,1.3882845046870151e-09
0.0022060882435297412,0.0,-1.3882845047928518e-09
0.0022080883235329413,-0.0,1.3882845045785296e-09
0.002210088403536142,0.0,-1.388284504760191e-09
0.002212088483539342,0.0,1.3882845045647576e-09
0.002214088563542542,-0.0,-1.3882845049281139e-09
0.002216088643545742,0.0,1.3882845045033723e-09
0.002218088723548942,0.0,-1.3882845047348456e-09
0.002220088803552142,0.0,1.3882845045290304e-09
0.0022220888835553423,-0.0,-1.3882845048451704e-09
0.0022240889635585423,0.0,1.3882845048000955e-09
0.002226089043561743,0.0,-1.3882845047156269e-09
0.002228089123564943,-0.0,1.38828450460927e-09
0.002230089203568143,0.0,-1.3882845048722227e-09
0.002232089283571343,0.0,1.3882845045244135e-09
0.002234089363574543,0.0,-1.3882845049549745e-09
0.0022360894435777432,-0.0,1.3882845046336442e-09
0.0022380895235809433,0.0,-1.388284504705242e-09
0.0022400896035841434,0.0,1.38828450469863e-09
0.0022420896835873435,-0.0,-1.3882845047698916e-09
